Base	MOH	K(OH)	KOH	hydroxyde de potassium	56	112
Base	MOH	Na(OH)	NaOH	hydroxyde de sodium	40	109
Acide binaire	HX	HCl	HCl	acide chlorhydrique	36	70
Sel ternaire	MXO	Mg(NO3)2	Mg(NO{_3})_{2}	nitrate de magnésium	148	69,5
Sel binaire	MX	NaF	NaF	fluorure de sodium	42	4,06
Sel binaire	MX	ZnI2	ZnI_{2}	iodure de zinc(II)	319	432
Sel ternaire	MXO	LiNO3	LiNO{_3}	nitrate de lithium	69	70,1
Sel binaire	MX	NaI	NaI	iodure de sodium	150	178
Sel binaire	MX	FeBr2	FeBr_{2}	bromure de fer(II)	216	117
Acide binaire	HX	H2S	H_{2}S	acide sulfhydrique	34	0,33
Sel binaire	MX	MgBr2	MgBr_{2}	bromure de magnésium	184	101
Sel binaire	MX	AlF3	AlF_{3}	fluorure d'aluminium	84	0,67
Sel binaire	MX	AlCl3	AlCl_{3}	chlorure d'aluminium	132	45,8
Base	MOH	Li(OH)	LiOH	hydroxyde de lithium	24	12,3
Base	MOH	Ca(OH)2	Ca(OH)_{2}	hydroxyde de calcium	74	0,173
Sel ternaire	MXO	Ca(NO3)2	Ca(NO{_3})_{2}	nitrate de calcium	164	121,2
Sel ternaire	MXO	KNO3	KNO{_3}	nitrate de potassium	101	31,6
Sel binaire	MX	ZnF2	ZnF_{2}	fluorure de zinc(II)	103	1,6
Sel binaire	MX	NaBr	NaBr	bromure de sodium	103	90,8
Sel binaire	MX	KBr	KBr	bromure de potassium	119	65,3
Sel ternaire	MXO	NaNO2	NaNO{_2}	nitrite de sodium	69	80,8
Sel binaire	MX	LiCl	LiCl	chlorure de lithium	42	83,5
Sel binaire	MX	NaCl	NaCl	chlorure de sodium	58	35,9
Sel ternaire	MXO	Li2CO3	Li_{2}CO{_3}	carbonate de lithium	74	1,33
Sel ternaire	MXO	Al(NO3)3	Al(NO{_3})_{3}	nitrate d'aluminium	213	73,9
Sel binaire	MX	ZnCl2	ZnCl_{2}	chlorure de zinc(II)	135	395
Sel binaire	MX	MnBr2	MnBr_{2}	bromure de manganèse(II)	215	147
Sel ternaire	MXO	K2SO4	K_{2}SO{_4}	sulfate de potassium	142	11,1
Sel binaire	MX	CaI2	CaI_{2}	iodure de calcium	294	66
Sel ternaire	MXO	K3PO4	K_{3}PO{_4}	phosphate de potassium	212	92,3
Sel ternaire	MXO	Mg(ClO3)2	Mg(ClO{_3})_{2}	chlorate de magnésium	190	135
Sel binaire	MX	LiF	LiF	fluorure de lithium	26	0,16
Sel ternaire	MXO	Na2CO3	Na_{2}CO{_3}	carbonate de sodium	106	21,5
Sel binaire	MX	MnCl2	MnCl_{2}	chlorure de manganèse(II)	125	73,9
Sel ternaire	MXO	K2CO3	K_{2}CO{_3}	carbonate de potassium	138	111
Sel binaire	MX	CaBr2	CaBr_{2}	bromure de calcium	200	143
Sel ternaire	MXO	Na3PO4	Na_{3}PO{_4}	phosphate de sodium	164	12,1
Sel ternaire	MXO	Li3PO4	Li_{3}PO{_4}	phosphate de lithium	116	0,03821
Sel binaire	MX	MgCl2	MgCl_{2}	chlorure de magnésium	94	54,6
Sel binaire	MX	CuCl2	CuCl_{2}	chlorure de cuivre(II)	134	73
Sel binaire	MX	KCl	KCl	chlorure de potassium	74	34,2
Sel binaire	MX	FeCl2	FeCl_{2}	chlorure de fer(II)	126	62,5
Sel binaire	MX	MnF2	MnF_{2}	fluorure de manganèse(II)	93	10,6
Sel ternaire	MXO	MnSO4	MnSO{_4}	sulfate de manganèse(II)	119	62,9
Sel ternaire	MXO	Li2SO4	Li_{2}SO{_4}	sulfate de lithium	78	34,8
Sel ternaire	MXO	MgCO3	MgCO{_3}	carbonate de magnésium	84	0,039
Sel binaire	MX	LiBr	LiBr	bromure de lithium	87	160
Sel binaire	MX	CaCl2	CaCl_{2}	chlorure de calcium	110	74,5
Sel binaire	MX	KI	KI	iodure de potassium	166	144
Sel ternaire	MXO	NaNO3	NaNO{_3}	nitrate de sodium	85	87,6
Sel ternaire	MXO	KNO2	KNO{_2}	nitrite de potassium	85	306
Sel binaire	MX	LiI	LiI	iodure de lithium	134	165
Sel ternaire	MXO	NaClO3	NaClO{_3}	chlorate de sodium	106	95,9
Sel ternaire	MXO	Ca(ClO3)2	Ca(ClO{_3})_{2}	chlorate de calcium	206	209
Sel binaire	MX	CuBr2	CuBr_{2}	bromure de cuivre(II)	224	126
Sel ternaire	MXO	Al2(SO4)3	Al_{2}(SO{_4})_{3}	sulfate d'aluminium	246	36,4
Sel ternaire	MXO	Na2SO4	Na_{2}SO{_4}	sulfate de sodium	110	19,5
Sel binaire	MX	FeF3	FeF_{3}	fluorure de fer(III)	113	0,091
Sel ternaire	MXO	MgSO4	MgSO{_4}	sulfate de magnésium	88	33,7
Sel ternaire	MXO	Mn(NO3)2	Mn(NO{_3})_{2}	nitrate de manganèse(II)	179	139
Sel ternaire	MXO	LiNO2	LiNO{_2}	nitrite de lithium	53	96,8
Sel binaire	MX	ZnBr2	ZnBr_{2}	bromure de zinc(II)	225	446
Sel binaire	MX	KF	KF	fluorure de potassium	58	94,9
Sel ternaire	MXO	Cu(ClO3)2	Cu(ClO{_3})_{2}	chlorate de cuivre(II)	230	242
Sel binaire	MX	MgI2	MgI_{2}	iodure de magnésium	278	140
Sel ternaire	MXO	LiClO3	LiClO{_3}	chlorate de lithium	90	372
Sel binaire	MX	CuF2	CuF_{2}	fluorure de cuivre(II)	102	0,075
Sel ternaire	MXO	Zn(ClO3)2	Zn(ClO{_3})_{2}	chlorate de zinc(II)	231	209
Sel ternaire	MXO	KClO3	KClO{_3}	chlorate de potassium	122	7,3
Sel ternaire	MXO	Cu(NO3)2	Cu(NO{_3})_{2}	nitrate de cuivre(II)	188	125
Sel ternaire	MXO	ZnSO4	ZnSO{_4}	sulfate de zinc(II)	129	53,8
